municipality,site_id,label,latitude,longitude,observed_count,observed_unit,observation_period,source,source_url
Barrie,4040,99,44.33464026211836,-79.68820143038072,99,pedestrians/turning-movement count,2017 published count,City of Barrie Traffic Counts,https://gispublic.barrie.ca/arcgis/rest/services/Open_Data/FacilitiesStreets/MapServer/5
Barrie,3942,Duckworth and Hwy 400 SB OFF Ramp,44.41572914403315,-79.67302451335293,24,pedestrians/turning-movement count,2017 published count,City of Barrie Traffic Counts,https://gispublic.barrie.ca/arcgis/rest/services/Open_Data/FacilitiesStreets/MapServer/5
Barrie,31,E Ann S and John,44.377943076560804,-79.700739036531,45,pedestrians/turning-movement count,2017 published count,City of Barrie Traffic Counts,https://gispublic.barrie.ca/arcgis/rest/services/Open_Data/FacilitiesStreets/MapServer/5
Barrie,78,E Anne N and Dunlop W Oct12,44.38287643642087,-79.70471044731963,103,pedestrians/turning-movement count,2017 published count,City of Barrie Traffic Counts,https://gispublic.barrie.ca/arcgis/rest/services/Open_Data/FacilitiesStreets/MapServer/5
Barrie,4138,E Anne N and Sunnidale Jun13,44.4010181289626,-79.720842028074,35,pedestrians/turning-movement count,2017 published count,City of Barrie Traffic Counts,https://gispublic.barrie.ca/arcgis/rest/services/Open_Data/FacilitiesStreets/MapServer/5
Barrie,35,E Anne S and Tiffin,44.3732269753043,-79.69672061785073,20,pedestrians/turning-movement count,2017 published count,City of Barrie Traffic Counts,https://gispublic.barrie.ca/arcgis/rest/services/Open_Data/FacilitiesStreets/MapServer/5
Barrie,247,E Anne an Donald,44.38445423553532,-79.70647526650767,116,pedestrians/turning-movement count,2017 published count,City of Barrie Traffic Counts,https://gispublic.barrie.ca/arcgis/rest/services/Open_Data/FacilitiesStreets/MapServer/5
Barrie,251,E Anne and Edgehill,44.38727441411159,-79.70887961523114,121,pedestrians/turning-movement count,2017 published count,City of Barrie Traffic Counts,https://gispublic.barrie.ca/arcgis/rest/services/Open_Data/FacilitiesStreets/MapServer/5
Barrie,82,E Anne and Letitia,44.39183635882588,-79.71284007871182,58,pedestrians/turning-movement count,2017 published count,City of Barrie Traffic Counts,https://gispublic.barrie.ca/arcgis/rest/services/Open_Data/FacilitiesStreets/MapServer/5
Barrie,86,E Anne and Livingstone,44.4041249015086,-79.72333285910244,22,pedestrians/turning-movement count,2017 published count,City of Barrie Traffic Counts,https://gispublic.barrie.ca/arcgis/rest/services/Open_Data/FacilitiesStreets/MapServer/5
