geo_name_raw,municipality_name,municipality_type,population_2021,population_density_per_km2,population_growth_2016_2021_pct,land_area_km2,population_scale_index_0_100,household_median_total_income_2020,income_index_0_100,children_0_14_pct,youth_15_24_pct,young_adult_20_34_pct,working_age_25_64_pct,seniors_65_plus_pct,median_age,family_with_children_pct,one_person_household_pct,average_household_size,employment_rate_pct,unemployment_rate_pct,participation_rate_pct,immigrant_pct,visible_minority_pct,diversity_index_0_100,renter_pct,renter_average_monthly_shelter_cost,rent_cost_index_0_100,rent_pressure_index_0_100,retail_trade_labour_pct,accommodation_food_labour_pct,other_services_labour_pct,density_index_0_100,market_base_index_0_100
"Addington Highlands, Township (TP)",Addington Highlands,TP,2534.0,2.0,9.3,1293.99,52.8053,57600.0,27.8547,11.6417,8.2873,12.8256,48.5399,31.176,55.6,43.7908,29.0179,2.2,35.5,15.3,41.7,4.1436,0.0,1.4503,20.4444,820.0,24.9151,23.5739,9.5506,7.3034,2.2472,13.0851,30.5768
"Adelaide-Metcalfe, Township (TP)",Adelaide-Metcalfe,TP,3011.0,9.1,0.7,331.11,53.9668,105000.0,68.8581,19.9269,11.1259,15.4434,49.9834,18.9306,43.2,56.8966,14.2857,2.9,69.2,5.9,73.6,9.9635,1.3285,4.1514,18.2266,960.0,32.8426,28.4578,7.1642,3.8806,2.0896,27.5437,46.8422
"Adjala-Tosorontio, Township (TP)",Adjala-Tosorontio,TP,10989.0,29.6,0.1,371.53,62.6873,117000.0,79.2388,15.4245,11.8755,15.925,55.2371,17.4265,46.4,56.9507,15.6454,2.9,61.0,9.0,67.1,13.195,6.734,7.9853,7.0404,1350.0,54.9264,40.5606,8.5526,4.1941,3.7829,40.7462,52.1543
"Admaston/Bromley, Township (TP)",Admaston/Bromley,TP,2995.0,5.8,2.0,519.59,53.931,85000.0,51.5571,18.3639,11.3523,14.5242,50.2504,19.8664,45.2,50.8475,20.7048,2.6,61.0,5.9,64.8,3.172,1.1686,1.6945,10.1322,1120.0,41.9026,32.3715,9.9688,2.1807,2.8037,22.8317,40.3347
"Ajax, Town (T)",Ajax,T,126666.0,1900.6,5.8,66.64,79.1567,119000.0,80.9689,18.7935,13.0145,19.7251,55.1016,13.0935,38.4,73.7753,14.0669,3.2,57.9,13.4,66.9,41.645,64.3898,46.9133,16.5253,1662.0,72.5934,55.773,11.2237,5.4303,3.5169,89.9304,68.2215
"Alfred and Plantagenet, Township (TP)",Alfred and Plantagenet,TP,9949.0,25.4,2.8,391.79,62.0175,85000.0,51.5571,15.8307,8.8451,17.7405,54.3773,20.9569,46.4,50.0,25.1225,2.4,59.1,6.4,63.1,3.3672,2.2615,2.3394,22.6994,1028.0,36.6931,32.495,10.2868,4.1543,4.0554,38.9877,46.1919
"Algoma, Unorganized, North Part, Unorganized (NO)","Algoma, Unorganized, North Part",NO,6050.0,0.1,5.4,43618.95,58.6668,76500.0,44.2042,12.562,7.1901,12.8099,54.876,25.4545,54.4,41.039,30.1444,2.2,44.5,15.5,52.7,4.6281,0.7438,1.9917,5.045,790.0,23.2163,17.7649,9.8696,5.7728,5.0279,1.1352,33.6787
"Algonquin Highlands, Township (TP)",Algonquin Highlands,TP,2588.0,2.6,10.1,999.69,52.9473,77000.0,44.6367,7.728,4.83,9.8532,49.459,38.2535,60.4,31.7365,32.4111,2.0,37.8,11.2,43.1,7.9212,2.1252,3.835,8.2677,800.0,23.7826,19.1281,14.4279,9.4527,4.4776,15.2567,34.0724
"Alnwick/Haldimand, Township (TP)",Alnwick/Haldimand,TP,7473.0,18.8,8.8,398.25,60.0897,102000.0,66.263,13.5153,10.3038,14.3851,52.7231,23.2169,49.6,49.5781,16.6667,2.6,55.1,11.5,62.3,9.8354,5.821,6.3529,7.9646,1230.0,48.1314,36.0813,10.9554,4.4586,4.7134,35.5613,47.0666
"Amaranth, Township (TP)",Amaranth,TP,4327.0,16.3,6.1,265.02,56.4091,127000.0,87.8893,17.4486,13.5198,17.1019,53.9635,15.1375,42.4,60.5469,12.3636,3.2,64.6,9.0,71.1,15.2531,12.1331,11.4745,11.2727,1800.0,80.4077,59.6672,11.5854,4.878,5.6911,33.9536,51.3222
